path	disposition	successor	proof	notes
.github/workflows/ci.yml	excluded	none	docs/migration/donor-provenance.md	Donor repository governance, build, package, and CI infrastructure are not Engine runtime behavior.
.gitignore	excluded	none	docs/migration/donor-provenance.md	Donor repository governance, build, package, and CI infrastructure are not Engine runtime behavior.
AGENTS.md	excluded	none	docs/migration/donor-provenance.md	Donor repository governance, build, package, and CI infrastructure are not Engine runtime behavior.
Cargo.lock	excluded	none	docs/migration/donor-provenance.md	Donor repository governance, build, package, and CI infrastructure are not Engine runtime behavior.
Cargo.toml	excluded	none	docs/migration/donor-provenance.md	Donor repository governance, build, package, and CI infrastructure are not Engine runtime behavior.
README.md	adapted	docs/design.md	rust/crates/gameplay-mechanics/tests/contract.rs	Common numeric and source semantics were rewritten behind Rusty components and named services.
consumers/minimal-game/Cargo.lock	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
consumers/minimal-game/Cargo.toml	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
consumers/minimal-game/src/bin/ruleweaver_core.rs	adapted	rust/crates/gameplay-mechanics/examples/compositions.rs	rust/crates/gameplay-mechanics/tests/gm5.rs	The d20-shaped composition became a downstream-owned direct-service example, not an Engine rules runtime.
consumers/minimal-game/src/main.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/asha-rpg/Cargo.toml	excluded	none	docs/migration/donor-provenance.md	Historical crate topology and dependency grouping are deliberately excluded.
crates/asha-rpg/src/lib.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/asha-rpg/tests/public_facade.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/rpg-compiler/Cargo.toml	excluded	none	docs/migration/donor-provenance.md	Historical crate topology and dependency grouping are deliberately excluded.
crates/rpg-compiler/src/artifact.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/rpg-compiler/src/bin/compile_play_bundle.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/rpg-compiler/src/bin/export_vocabulary.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/rpg-compiler/src/bin/validate_ir.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/rpg-compiler/src/bin/validate_play_bundle.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/rpg-compiler/src/compile.rs	adapted	rust/crates/gameplay-mechanics/src/catalog.rs	rust/crates/gameplay-mechanics/tests/gm1.rs	Strict reference admission and canonical ordering were retained in one bounded immutable catalog.
crates/rpg-compiler/src/diagnostic.rs	adapted	rust/crates/gameplay-mechanics/src/error.rs	rust/crates/gameplay-mechanics/tests/gm5.rs	Actionable typed rejection identity was retained without compiler-stage diagnostics.
crates/rpg-compiler/src/execute.rs	adapted	rust/crates/gameplay-mechanics/src/damage.rs	rust/crates/gameplay-mechanics/tests/gm3.rs	Checked deterministic damage staging and late-failure rollback became one direct component-local service.
crates/rpg-compiler/src/lib.rs	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
crates/rpg-compiler/src/registry.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/rpg-compiler/tests/semantic_kernel.rs	adopted	rust/crates/gameplay-mechanics/tests/contract.rs	rust/crates/gameplay-mechanics/tests/gm3.rs	Determinism, unknown-reference, bounded decision, and late-failure cases were retained as rewritten provider proofs.
crates/rpg-core/Cargo.toml	excluded	none	docs/migration/donor-provenance.md	Historical crate topology and dependency grouping are deliberately excluded.
crates/rpg-core/src/authority.rs	adapted	rust/crates/gameplay-mechanics/src/effect.rs	rust/crates/gameplay-mechanics/tests/gm2.rs	Source provenance, effect stacking, damage stages, and failure atomicity were rewritten without the authority aggregate.
crates/rpg-core/src/lib.rs	adapted	rust/crates/gameplay-mechanics/src/lib.rs	rust/crates/gameplay-mechanics/tests/contract.rs	Selected public semantic families were re-exposed as Rusty-native components and services; the donor facade was not copied.
crates/rpg-core/src/primitives.rs	adapted	rust/crates/gameplay-mechanics/src/component.rs	rust/crates/gameplay-mechanics/tests/gm1.rs	Bounded values and open identities became checked scalars, typed IDs, stats, and tracks.
crates/rpg-ir/Cargo.toml	excluded	none	docs/migration/donor-provenance.md	Historical crate topology and dependency grouping are deliberately excluded.
crates/rpg-ir/src/lib.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/rpg-ir/src/normalized.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/rpg-ir/src/play_bundle_artifact.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/rpg-runtime/Cargo.toml	excluded	none	docs/migration/donor-provenance.md	Historical crate topology and dependency grouping are deliberately excluded.
crates/rpg-runtime/src/encounter.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/rpg-runtime/src/lib.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/rpg-runtime/src/replay.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
crates/rpg-runtime/src/semantic_session.rs	excluded	none	docs/migration/donor-provenance.md	Universal registry, IR, session, encounter, replay, and facade topology are deliberately excluded.
docs/design.md	adapted	docs/design.md	rust/crates/gameplay-mechanics/tests/contract.rs	Common numeric and source semantics were rewritten behind Rusty components and named services.
docs/encounter-session-contract.md	excluded	none	docs/migration/donor-provenance.md	Repository topology or product-specific behavior was not transferred.
docs/first-wave-primitive-catalog.md	adapted	docs/design.md	rust/crates/gameplay-mechanics/tests/contract.rs	Common numeric and source semantics were rewritten behind Rusty components and named services.
docs/non-claims.md	adopted	docs/design.md	scripts/audit-standalone.sh	The useful negative boundary evidence is retained without donor governance topology.
docs/ruleweaver-core-composition.md	adapted	rust/crates/gameplay-mechanics/examples/compositions.rs	rust/crates/gameplay-mechanics/tests/gm5.rs	The d20-shaped composition became a downstream-owned direct-service example, not an Engine rules runtime.
examples/generate-portable-replay-source.ts	excluded	none	docs/migration/donor-provenance.md	Generated-source and vocabulary-codegen paths are deliberately excluded.
examples/generate-ruleweaver-core-source.ts	excluded	none	docs/migration/donor-provenance.md	Generated-source and vocabulary-codegen paths are deliberately excluded.
examples/representative-actions.ts	adapted	rust/crates/gameplay-mechanics/examples/compositions.rs	rust/crates/gameplay-mechanics/tests/gm5.rs	The d20-shaped composition became a downstream-owned direct-service example, not an Engine rules runtime.
