item_id	status	successor_location	evidence	rationale
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:16:GeneratedArtifact	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Item GeneratedArtifact is explicitly adapted. Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model.
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:22:render_static_mesh	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Item render_static_mesh is explicitly adapted. Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model.
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:111:render_catalog	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Item render_catalog is explicitly adapted. Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model.
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:191:render_artifacts	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Item render_artifacts is explicitly adapted. Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model.
api:engine-rs/crates/tools/asset-import/src/cli.rs:24:Mode	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item Mode is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
api:engine-rs/crates/tools/asset-import/src/cli.rs:34:ImportPlan	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item ImportPlan is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
api:engine-rs/crates/tools/asset-import/src/cli.rs:51:output_paths	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item output_paths is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
api:engine-rs/crates/tools/asset-import/src/cli.rs:62:plan	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item plan is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
api:engine-rs/crates/tools/asset-import/src/cli.rs:182:run	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item run is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
test:engine-rs/crates/tools/asset-import/src/cli.rs:plan_is_deterministic_and_filesystem_free	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item plan_is_deterministic_and_filesystem_free is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
test:engine-rs/crates/tools/asset-import/src/cli.rs:a_failed_import_plans_no_artifacts	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item a_failed_import_plans_no_artifacts is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
test:engine-rs/crates/tools/asset-import/src/cli.rs:write_mode_emits_the_deterministic_files	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item write_mode_emits_the_deterministic_files is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
test:engine-rs/crates/tools/asset-import/src/cli.rs:dry_run_writes_nothing	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item dry_run_writes_nothing is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
test:engine-rs/crates/tools/asset-import/src/cli.rs:reimport_of_unchanged_source_reports_noop	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item reimport_of_unchanged_source_reports_noop is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
test:engine-rs/crates/tools/asset-import/src/cli.rs:a_failed_import_writes_no_files	adapted	rust/crates/asset-import/src/plan.rs rust/crates/asset-import/src/publish.rs rust/crates/asset-import/src/bin/rusty_asset_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item a_failed_import_writes_no_files is explicitly adapted. Filesystem-free dry-run planning and verified whole-directory publication replace per-file swaps, preventing partial output on failure.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:11:ImportSeverity	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item ImportSeverity is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:17:label	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item label is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:27:ImportCode	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item ImportCode is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:51:label	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item label is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:69:ImportDiagnostic	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item ImportDiagnostic is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:81:error	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item error is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:96:warning	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item warning is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:111:is_error	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item is_error is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/diagnostic.rs:116:render	adapted	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Item render is explicitly adapted. Stable severity, codes, loci, messages, and remedies remain local to the importer.
api:engine-rs/crates/tools/asset-import/src/fingerprint.rs:14:fnv1a_64	adapted	rust/crates/asset-import/src/fingerprint.rs	rust/crates/asset-import/tests/offline_import.rs	Item fnv1a_64 is explicitly adapted. SHA-256 source and artifact provenance replaces the donor short FNV fingerprint.
