item_id	kind	donor_crate	donor_path	status	successor_location	evidence	rationale
file:engine-rs/crates/tools/asset-import/Cargo.toml	file	asset-import	engine-rs/crates/tools/asset-import/Cargo.toml	adapted	rust/crates/asset-import/Cargo.toml	cargo test -p asset-import	The offline importer is an ordinary workspace tool consuming only the successor asset and renderer-neutral owners it actually needs. Exact file item: -.
file:engine-rs/crates/tools/asset-import/README.md	file	asset-import	engine-rs/crates/tools/asset-import/README.md	adapted	rust/crates/asset-import/src/lib.rs	rust/crates/asset-import/tests/offline_import.rs	The supported strict source and offline-only posture are crate-level contracts; Asha naming and runtime assumptions are removed. Exact file item: -.
file:engine-rs/crates/tools/asset-import/examples/dump_cli_report.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_cli_report.rs	obsolete	rust/crates/asset-import/src/plan.rs	rust/crates/asset-import/tests/offline_import.rs	Dump-only report proof is removed; the deterministic plan report accompanies typed files and classifications. Exact file item: -.
file:engine-rs/crates/tools/asset-import/examples/dump_import.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_import.rs	obsolete	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Generated native artifacts are directly testable and need no proof dump executable. Exact file item: -.
file:engine-rs/crates/tools/asset-import/examples/dump_import_diagnostics.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_import_diagnostics.rs	obsolete	rust/crates/asset-import/src/diagnostic.rs	rust/crates/asset-import/tests/offline_import.rs	Typed diagnostics and stable labels replace a formatting-only executable. Exact file item: -.
file:engine-rs/crates/tools/asset-import/examples/dump_sidecar.rs	file	asset-import	engine-rs/crates/tools/asset-import/examples/dump_sidecar.rs	obsolete	rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Strict sidecar fixed points, inspection fields, and reconciliation are direct APIs rather than evidence dumps. Exact file item: -.
file:engine-rs/crates/tools/asset-import/src/artifacts.rs	file	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model. Exact file item: -.
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:16:GeneratedArtifact	api	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model. Exact api item: struct:GeneratedArtifact.
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:22:render_static_mesh	api	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model. Exact api item: fn:render_static_mesh.
api:engine-rs/crates/tools/asset-import/src/artifacts.rs:111:render_catalog	api	asset-import	engine-rs/crates/tools/asset-import/src/artifacts.rs	adapted	rust/crates/asset-import/src/artifact.rs	rust/crates/asset-import/tests/offline_import.rs	Deterministic catalog and static-mesh bytes use the canonical successor codecs and renderer model. Exact api item: fn:render_catalog.
