owner	classification	workflows	boundary	studio_state	proof_slice
asset-catalog	direct	asset browser; dependencies; locks; material bindings; eligible static and animated appearance targets	typed catalog readout and candidate operation	filter selection dependency navigation lock provenance animated resource and clip rows plus draft fields	M11B/M11D/M11E/M11F
asset-import	direct	project or host source import; generated artifacts; reimport classification and source drift	private prepare/apply/discard candidate plus typed readout and receipt	settings draft diagnostics candidate review and selected imported asset	M11F
authored-scene	direct	project and scene lifecycle; hierarchy; nodes; lights; full transforms; static and animated appearance; scene admission	canonical scene bytes; readout; named hash and revision guarded operations	selection parent-aware translate rotate scale preview and settlement plus create rename reparent delete static animated clip and light drafts	M11B/M11D/M11F
content-store	direct	manifest closure; project create/save-as; atomic project publication; stale protection	load/save plan; source batch; write set	project drafts pending plans and conflict diagnostics	M11B/M11D/M11E/M11F
core-assets	indirect	asset identities and kinds inside owner DTOs	owner-defined serialized identifiers	labels and icons only	M11B
core-ids	indirect	stable entity identities inside scene entity and render readouts	owner-defined serialized identifiers	selection keys only	M11B/M11D
core-math	indirect	vectors bounds rays and transforms inside typed owner values	owner-defined serialized values	camera and transient world/local parent-aware gizmo and voxel preview values	M11D/M11E/M11F
core-space	indirect	voxel cell chunk and world coordinates inside voxel operations	owner-defined serialized values	coordinate fields and overlays	M11E
core-time	downstream-only	project runtime timing and tick readouts where a project exposes them	project-adapter readout only	formatted observation	M11B/M11C
core-voxel	indirect	compact voxel values inside spatial and asset owners	owner-defined serialized values	brush material and preview cells	M11E
engine-inspector	direct	catalog scene entity voxel import persistence and rejection diagnostics	typed deterministic reports and local diagnostic codes	focused row filters asset details and message formatting	M11B/M11D/M11E/M11F
engine-spatial	direct	voxel edits; authoritative picks; history; collision-backed authoring; mechanics readout	typed preview commit pick and history operations	cube paint/erase plus block box shell edge line; durable query undo redo direct revert and preview/apply/discard revert implemented	M11E/M11F
entity-state	direct	definitions; capabilities; relationships; transforms; static and animated appearance; lifecycle readout	typed entity readout and named collision kinematic appearance and lifecycle operations	selected entity parent-aware full-transform preview settlement and typed static animated clip light and capability drafts	M11B/M11D/M11F
environment-authoring	direct	preset and seed authoring; generated voxel scene and markers	typed materialization request and candidate receipts	tiny-enclosed preset seed managed asset instance palette and named player/exit targets implemented	M11F
gameplay-mechanics	non-studio	reusable downstream gameplay mechanics	no Studio API	no mechanics state or editor authority	GM0-classification
gameplay-resolution	non-studio	bounded downstream-owned attempt resolution	no Studio API	no gameplay attempt or transaction authority	gameplay-resolution-boundary
gameplay-rules	non-studio	optional semantic-neutral packages consumed by downstream compilers	no Studio API	no package payload or downstream semantic editor authority	GR0-classification
gameplay-standard	non-studio	optional gameplay capability metadata and direct downstream Rust composition	no Studio API	no gameplay definitions runtime state or editor authority	gameplay-standard-boundary
render-host-contracts	non-studio	private native host composition input and readback contracts	no Studio API	no native host bridge or downstream gameplay authority	SDK-renderer-boundary
render-model	indirect	retained renderer-neutral scene resources including static and animated meshes and operations	shared render frames produced by Rust owners	no canonical copy	M11D/M11E/M11F
render-presentation	direct	animation audio billboard particle telemetry preview and diagnostics	versioned presentation frame and local controller operations	preview controls and presentation readouts	M11D/M11E
render-projection	direct	authored entity voxel light static and animated appearance and clip projection	versioned renderer-neutral frame	no scene graph; channel selection only	M11B/M11D/M11E/M11F
renderer-webview-host	non-studio	private downstream native child-webview realization	no Studio API	no native window event loop or private webview bridge	SDK-renderer-boundary
