path	disposition	successor	proof	notes
.github/workflows/ci.yml	excluded	none	docs/gameplay-rules-contract.md	Donor repository governance, workspace, dependency, and build topology are not Engine runtime behavior.
.gitignore	excluded	none	docs/gameplay-rules-contract.md	Donor repository governance, workspace, dependency, and build topology are not Engine runtime behavior.
AGENTS.md	excluded	none	docs/gameplay-rules-contract.md	Donor repository governance, workspace, dependency, and build topology are not Engine runtime behavior.
Cargo.lock	excluded	none	docs/gameplay-rules-contract.md	Donor repository governance, workspace, dependency, and build topology are not Engine runtime behavior.
Cargo.toml	excluded	none	docs/gameplay-rules-contract.md	Donor repository governance, workspace, dependency, and build topology are not Engine runtime behavior.
README.md	excluded	none	docs/gameplay-rules-contract.md	Donor repository governance, workspace, dependency, and build topology are not Engine runtime behavior.
consumers/minimal-game/Cargo.lock	excluded	none	docs/gameplay-rules-contract.md	Donor consumers, replay generators, and RPG examples are product evidence rather than Engine package support.
consumers/minimal-game/Cargo.toml	excluded	none	docs/gameplay-rules-contract.md	Donor consumers, replay generators, and RPG examples are product evidence rather than Engine package support.
consumers/minimal-game/src/bin/ruleweaver_core.rs	excluded	none	docs/gameplay-rules-contract.md	Donor consumers, replay generators, and RPG examples are product evidence rather than Engine package support.
consumers/minimal-game/src/main.rs	excluded	none	docs/gameplay-rules-contract.md	Donor consumers, replay generators, and RPG examples are product evidence rather than Engine package support.
crates/asha-rpg/Cargo.toml	excluded	none	docs/gameplay-rules-contract.md	Authority session, encounter, lifecycle, replay, registry, and aggregate facade topology remain downstream or absent.
crates/asha-rpg/src/lib.rs	excluded	none	docs/gameplay-rules-contract.md	Authority session, encounter, lifecycle, replay, registry, and aggregate facade topology remain downstream or absent.
crates/asha-rpg/tests/public_facade.rs	excluded	none	docs/gameplay-rules-contract.md	Authority session, encounter, lifecycle, replay, registry, and aggregate facade topology remain downstream or absent.
crates/rpg-compiler/Cargo.toml	excluded	none	docs/gameplay-rules-contract.md	Donor RPG compilation, execution, registry, CLI, and crate topology stay downstream; only separately named neutral lessons are retained.
crates/rpg-compiler/src/artifact.rs	evidence	gameplay-rules artifact bounds	docs/gameplay-rules-contract.md	Artifact size, hash, and fail-closed decode behavior inform bounds; donor compiled RPG definitions are excluded.
crates/rpg-compiler/src/bin/compile_play_bundle.rs	excluded	none	docs/gameplay-rules-contract.md	Donor RPG compilation, execution, registry, CLI, and crate topology stay downstream; only separately named neutral lessons are retained.
crates/rpg-compiler/src/bin/export_vocabulary.rs	excluded	none	docs/gameplay-rules-contract.md	Donor RPG compilation, execution, registry, CLI, and crate topology stay downstream; only separately named neutral lessons are retained.
