donor_path	status	capability	successor_evidence	adaptation
engine-rs/crates/protocol/protocol-presentation/Cargo.toml	adapted	presentation-contract	rust/crates/render-presentation/Cargo.toml	Consolidated the presentation protocol package into the renderer-neutral presentation crate and TS contract package.
engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/src/frame.rs render/packages/render-contracts/src/presentation.ts	Preserved typed domain operations while removing replay and origin envelopes.
engine-rs/crates/protocol/protocol-render/Cargo.toml	adapted	render-core	rust/crates/render-model/Cargo.toml	Consolidated the retained protocol package into render-model.
engine-rs/crates/protocol/protocol-render/src/editor_grid.rs	adapted	editor-grid	rust/crates/render-model/src/editor_grid.rs	Preserved renderer-neutral grid descriptors and validation.
engine-rs/crates/protocol/protocol-render/src/lib.rs	adapted	render-core	rust/crates/render-model/src/lib.rs rust/crates/render-model/tests/full_contract.rs	Preserved the complete retained vocabulary behind successor-owned modules.
engine-rs/crates/protocol/protocol-render/src/lighting.rs	adapted	lighting	rust/crates/render-model/src/lighting.rs	Preserved ambient directional point and spot light descriptors with shadow intent.
engine-rs/crates/protocol/protocol-render/src/material_feedback.rs	adapted	materials	rust/crates/render-model/src/assets.rs	Preserved material and instance parameter behavior without gameplay feedback authority.
engine-rs/crates/protocol/protocol-render/src/pick.rs	adapted	picking	rust/crates/render-model/src/core.rs render/packages/renderer-three/src/browser-surface-pick.test.ts	Preserved typed pick provenance as a non-authoritative hint.
engine-rs/crates/render/render-animation/Cargo.toml	adapted	animation-projection	rust/crates/render-presentation/Cargo.toml	Consolidated animation projection into render-presentation.
engine-rs/crates/render/render-animation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs	Preserved retained bindings and playback projection without replay metadata.
engine-rs/crates/render/render-animation/tests/projector.rs	adapted	animation-projection	rust/crates/render-presentation/tests/animation.rs	Re-expressed projector lifecycle and transition behavior in successor tests.
engine-rs/crates/render/render-audio/Cargo.toml	adapted	audio-projection	rust/crates/render-presentation/Cargo.toml	Consolidated audio projection into render-presentation.
