item_id	kind	donor_path	status	capability	successor_evidence	rationale
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:13:RUNTIME_PROJECTION_SCHEMA_VERSION	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api const:RUNTIME_PROJECTION_SCHEMA_VERSION is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:16:AudioHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:AudioHandle is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:19:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:new is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:23:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:raw is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:29:BillboardHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:BillboardHandle is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:32:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:new is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:36:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:raw is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:42:ParticleEmitterHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleEmitterHandle is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:45:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:new is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:49:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:raw is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:55:TelemetryOverlayHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:TelemetryOverlayHandle is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:58:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:new is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:62:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:raw is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:68:AnimationProjectionHandle	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationProjectionHandle is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:71:new	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:new is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:75:raw	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api fn:raw is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:82:ProjectionReplayScope	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	obsolete	presentation-contract	docs/rendering-successor-contract.md	Exact donor api enum:ProjectionReplayScope is explicitly obsolete. Replay certification and mandatory origin envelopes are intentionally excluded from renderer authority; the linked design evidence records the replacement boundary.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:88:PresentationOriginKind	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	obsolete	presentation-contract	docs/rendering-successor-contract.md	Exact donor api enum:PresentationOriginKind is explicitly obsolete. Replay certification and mandatory origin envelopes are intentionally excluded from renderer authority; the linked design evidence records the replacement boundary.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:97:PresentationOriginRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	obsolete	presentation-contract	docs/rendering-successor-contract.md	Exact donor api struct:PresentationOriginRef is explicitly obsolete. Replay certification and mandatory origin envelopes are intentionally excluded from renderer authority; the linked design evidence records the replacement boundary.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:107:PresentationOpMeta	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	presentation-contract	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts	Exact donor api struct:PresentationOpMeta is explicitly adapted under presentation-contract. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:114:AudioBus	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:AudioBus is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:122:AudioEmitter	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:AudioEmitter is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:130:AudioClipRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:AudioClipRef is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:137:AudioSourceDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:AudioSourceDescriptor is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:151:AudioSourcePatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:AudioSourcePatch is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:163:AudioProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:AudioProjectionOp is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:183:AudioProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:AudioProjectionDiagnosticCode is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:199:AudioProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:AudioProjectionDiagnostic is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:209:AudioProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:AudioProjectionReadout is explicitly adapted under audio-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:218:BillboardAnchor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:BillboardAnchor is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:225:BillboardTemplateArgument	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:BillboardTemplateArgument is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:232:BillboardTextureRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:BillboardTextureRef is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:243:BillboardContent	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:BillboardContent is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:269:BillboardFontRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:BillboardFontRef is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
