item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/services/svc-environment-authoring/Cargo.toml	file	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/Cargo.toml	0	-
file:engine-rs/crates/services/svc-environment-authoring/src/lib.rs	file	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	0	-
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:37:MAX_GENERATED_VOXELS	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	37	const:MAX_GENERATED_VOXELS
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:38:MAX_GENERATED_SPARSE_RUNS	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	38	const:MAX_GENERATED_SPARSE_RUNS
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:39:MAX_GENERATED_MARKERS	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	39	const:MAX_GENERATED_MARKERS
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:43:EnvironmentTarget	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	43	struct:EnvironmentTarget
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:56:EnvironmentMaterializationInput	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	56	struct:EnvironmentMaterializationInput
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:71:MaterializedEnvironment	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	71	struct:MaterializedEnvironment
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:86:MaterializationResult	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	86	type:MaterializationResult
api:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:91:materialize_environment	api	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	91	fn:materialize_environment
test:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:materializes_repeatable_local_asset_and_scene_placement	test	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	852	materializes_repeatable_local_asset_and_scene_placement
test:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:generator_free_scene_replacement_requires_matching_loaded_asset_provenance	test	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	892	generator_free_scene_replacement_requires_matching_loaded_asset_provenance
test:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:scene_parent_translation_is_composed_for_runtime_sources	test	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	950	scene_parent_translation_is_composed_for_runtime_sources
test:engine-rs/crates/services/svc-environment-authoring/src/lib.rs:rejects_unknown_recipe_and_bounded_requests_atomically	test	svc-environment-authoring	engine-rs/crates/services/svc-environment-authoring/src/lib.rs	975	rejects_unknown_recipe_and_bounded_requests_atomically
