item_id	kind	donor_crate	path	line	symbol
file:engine-rs/crates/tools/voxel-diagnostics/Cargo.toml	file	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/Cargo.toml	0	-
file:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	file	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	0	-
api:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:23:ChunkReport	api	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	23	struct:ChunkReport
api:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:34:QueueCount	api	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	34	struct:QueueCount
api:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:41:VoxelSceneReport	api	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	41	struct:VoxelSceneReport
api:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:56:report	api	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	56	fn:report
api:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:117:to_report_string	api	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	117	fn:to_report_string
api:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:157:describe_rejection	api	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	157	fn:describe_rejection
test:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:report_aggregates_lifecycle_mesh_and_collision_deterministically	test	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	214	report_aggregates_lifecycle_mesh_and_collision_deterministically
test:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:report_string_matches_golden	test	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	243	report_string_matches_golden
test:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:describe_rejection_includes_chunk_and_voxel_context	test	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	259	describe_rejection_includes_chunk_and_voxel_context
test:engine-rs/crates/tools/voxel-diagnostics/src/lib.rs:diagnostics_never_mutate_the_world	test	voxel-diagnostics	engine-rs/crates/tools/voxel-diagnostics/src/lib.rs	274	diagnostics_never_mutate_the_world
