capability	status	donor_surface	successor_owner	evidence
render-core	adapted	protocol-render retained handles hierarchy primitives transforms layers metadata diffs	render-model	rust/crates/render-model/tests/full_contract.rs
presentation-contract	adapted	protocol-presentation typed animation audio billboard particle and telemetry operations	render-presentation render-contracts	rust/crates/render-presentation/tests/contract.rs fixtures/render/presentation-frame-v1.json render/packages/render-contracts/src/validation.test.ts
presentation-host-set	adapted	renderer-host combined presentation frame validation fan-out receipts unavailable-host diagnostics and advancing domains	renderer-host	render/packages/renderer-host/src/presentation-host-set.ts render/packages/renderer-host/src/animation-host.test.ts render/packages/renderer-host/src/audio-host.test.ts render/packages/renderer-host/src/billboard-host.test.ts render/packages/renderer-host/src/particle-host.test.ts render/packages/renderer-host/src/telemetry-host.test.ts
mesh-payloads	adapted	protocol-render mesh payload descriptors and render-bridge mesh conversion	render-model render-projection	rust/crates/render-model/src/mesh.rs rust/crates/render-projection/src/voxel.rs
static-meshes	adapted	protocol-render static mesh assets instances slots and collision intent	render-model renderer-three	rust/crates/render-model/src/mesh.rs render/packages/renderer-three/src/renderer.test.ts
animated-meshes	adapted	protocol-render animated mesh descriptors instances clips and playback	render-model renderer-three renderer-host	render/packages/renderer-host/src/animated-mesh-host.ts render/packages/renderer-host/src/animation-host.test.ts render/browser/renderer.browser.spec.ts
materials	adapted	protocol-render material definitions instance feedback and UV strategies	render-model renderer-three	rust/crates/render-model/src/assets.rs render/packages/renderer-three/src/renderer.test.ts
model-material-preview	adapted	protocol-render model/material preview request snapshot and retained-frame construction	render-projection	rust/crates/render-projection/src/model_preview.rs rust/crates/render-projection/tests/model_material_preview.rs
textures-sprites	adapted	protocol-render textures sprite atlases sprite lifecycle and picking	render-model render-projection renderer-three	rust/crates/render-model/src/assets.rs render/packages/render-projection/src/retained-projection.test.ts render/packages/renderer-three/src/renderer.test.ts
lighting	adapted	protocol-render lights shadows scene-light projection and Three realization	render-model render-projection renderer-three	rust/crates/render-projection/src/authored.rs render/packages/renderer-three/src/renderer.test.ts
editor-grid	adapted	protocol-render editor grid validation and Three grid projection	render-model renderer-three	rust/crates/render-model/src/editor_grid.rs render/packages/renderer-three/src/editor-grid.test.ts
retained-projection	adapted	render-bridge core projector plus TS render-projection	render-projection render/packages/render-projection	rust/crates/render-projection/src/retained.rs render/packages/render-projection/src/retained-projection.test.ts
entity-projection	adapted	render-bridge entity state change detection and stable handle registry	render-projection	rust/crates/render-projection/src/entity.rs
voxel-projection	adapted	render-bridge voxel chunks materials dirty reprojection and mesh payloads	render-projection	rust/crates/render-projection/src/voxel.rs
authored-projection	adapted	render-bridge scene preview runtime projection materials sprites and lights	render-projection	rust/crates/render-projection/src/authored.rs
debug-projection	adapted	render-debug primitives labels tags and deterministic overlay frames	render-projection	rust/crates/render-projection/src/debug.rs
json-contract	adapted	render-bridge JSON codec fixtures and Rust to TypeScript contract	render-model render/packages/render-contracts	fixtures/render/retained-frame-v1.json render/packages/render-contracts/src/validation.test.ts
animation-controller	adapted	rule-state-machine and rule-animation-controller graphs parameters blends transitions timing	render-presentation	rust/crates/render-presentation/src/animation/model.rs rust/crates/render-presentation/src/animation/controller.rs rust/crates/render-presentation/tests/animation.rs
animation-projection	adapted	render-animation retained bindings playback state and transition projection	render-presentation	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs
audio-projection	adapted	render-audio retained and one-shot sources validation diagnostics readout reset	render-presentation	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs
billboard-projection	adapted	render-billboard anchors text values icons fonts lifecycle diagnostics	render-presentation	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs
particle-projection	adapted	render-particle bounded emitters bursts curves sprites lifecycle diagnostics	render-presentation	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs
telemetry-projection	adapted	render-telemetry-overlay retained descriptors snapshots lifecycle diagnostics	render-presentation	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs
three-core	adapted	renderer-three retained object hierarchy primitives transforms mesh application snapshots disposal	render/packages/renderer-three	render/packages/renderer-three/src/renderer.test.ts fixtures/render/goldens/static-room-v1.snapshot
three-resources	adapted	renderer-three shared static animated meshes GLB materials textures sprites lights shadows	render/packages/renderer-three	render/packages/renderer-three/src/animated-mesh.ts render/packages/renderer-three/src/renderer.test.ts
browser-surface	adapted	renderer-three WebGL surface camera world projection resize render loop and cleanup	render/packages/renderer-three	render/packages/renderer-three/src/browser-surface.ts render/browser/renderer.browser.spec.ts
picking	adapted	renderer-three mesh sprite ray picking filters provenance and diagnostics	render/packages/renderer-three	render/packages/renderer-three/src/browser-surface-pick.test.ts render/browser/renderer.browser.spec.ts
editor-viewport	adapted	renderer-three grid channels depth overlay passes and editor backend	render/packages/renderer-three render/packages/renderer-host	render/packages/renderer-host/src/editor-viewport.test.ts render/packages/renderer-host/src/inspection-surface.test.ts render/browser/renderer.browser.spec.ts
animation-host	adapted	renderer-host animated resource loading mixer sampling transitions and errors	render/packages/renderer-host	render/packages/renderer-host/src/animation-host.test.ts render/browser/renderer.browser.spec.ts
audio-host	adapted	renderer-host WebAudio lifecycle buses decode start failures and cleanup	render/packages/renderer-host	render/packages/renderer-host/src/audio-host.test.ts render/browser/renderer.browser.spec.ts
billboard-host	adapted	renderer-host DOM world projection content localization icon lifecycle	render/packages/renderer-host	render/packages/renderer-host/src/billboard-host.test.ts render/browser/renderer.browser.spec.ts
particle-host	adapted	renderer-host bounded seeded particle simulation bursts DOM realization lifecycle and cleanup	render/packages/renderer-host	render/packages/renderer-host/src/particle-host.test.ts render/packages/renderer-host/src/browser-dom-hosts.ts render/browser/renderer.browser.spec.ts
telemetry-host	adapted	renderer-host telemetry collection DOM snapshots cadence lifecycle and cleanup	render/packages/renderer-host	render/packages/renderer-host/src/telemetry-host.test.ts render/packages/renderer-host/src/browser-dom-hosts.ts render/browser/renderer.browser.spec.ts
inspection-camera	adapted	renderer-host inspection surface editor controls camera transitions stored cameras bounds readouts	render/packages/renderer-host	render/packages/renderer-host/src/inspection-surface.test.ts render/packages/renderer-host/src/camera-transition.test.ts render/packages/renderer-host/src/stored-editor-camera.test.ts render/browser/renderer.browser.spec.ts
demo-consumer	adapted	rusty-engine-demo private renderer contracts Three backend and browser projection	rusty-engine-demo shared render integration	docs/rendering-operations.md
clean-clone-ci	adapted	all donor fixtures goldens and package boundaries	Engine renderer CI and docs	.github/workflows/verify.yml .github/workflows/render.yml scripts/verify-render.sh docs/rendering-operations.md
