item_id	classification	summary
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:13:RUNTIME_PROJECTION_SCHEMA_VERSION	mixed-runtime-split	Retained behavior: a versioned presentation frame contract. Removed concept: the universal RuntimeProjectionFrame schema and authority-tick envelope are split into independently versioned scene and presentation frames.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:82:ProjectionReplayScope	removed-replay-proof	Removed concept: the enum existed only to label presentation outside replay truth; successor presentation frames omit replay certification entirely.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:88:PresentationOriginKind	removed-origin-envelope	Removed concept: mandatory authority-origin classification belonged to Asha proof bookkeeping rather than disposable presentation behavior.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:97:PresentationOriginRef	removed-origin-envelope	Removed concept: mandatory source-fact, authority-tick, causation, and correlation envelopes do not cross the successor render border.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:107:PresentationOpMeta	mixed-origin-envelope	Retained behavior: contiguous per-frame operation sequencing. Removed concept: mandatory authority-origin, causation, and correlation envelopes.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:199:AudioProjectionDiagnostic	mixed-origin-envelope	Retained behavior: typed audio failure code, operation sequence, handle, and message. Removed concept: copied authority-origin proof metadata on renderer diagnostics.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:350:BillboardProjectionDiagnostic	mixed-origin-envelope	Retained behavior: typed billboard failure code, operation sequence, handle, and message. Removed concept: copied authority-origin proof metadata on renderer diagnostics.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:473:ParticleProjectionDiagnostic	mixed-origin-envelope	Retained behavior: typed particle failure code, operation sequence, handle, and message. Removed concept: copied authority-origin proof metadata on renderer diagnostics.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:550:TelemetryOverlayDiagnostic	mixed-origin-envelope	Retained behavior: typed telemetry failure code, operation sequence, handle, and message. Removed concept: copied authority-origin proof metadata on renderer diagnostics.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:597:AnimationTransitionFactRef	mixed-replay-removal	Retained behavior: local controller tick, transition identity, endpoints, moment, and duration. Removed concept: source-fact identity, authority tick, input-log sequence, causation, correlation, and certification hash.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:615:AnimationControllerProjectionState	mixed-replay-removal	Retained behavior: graph version, state revision, resolved motion, active transition, and typed local transition fact. Removed concept: graph and semantic-state certification hashes.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:672:AnimationProjectionDiagnostic	mixed-origin-envelope	Retained behavior: typed animation failure code, sequence, handle, target, and message. Removed concept: copied authority-origin proof metadata on renderer diagnostics.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:717:PresentationFrameDiff	mixed-replay-removal	Retained behavior: a versioned ordered frame of typed presentation operations. Removed concept: the replay-scope marker that existed only to classify the frame for certification.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:732:RuntimeProjectionFrame	mixed-runtime-split	Retained behavior: scene and presentation frames can be applied together by an explicit caller. Removed concept: one universal runtime composite carrying authority tick and cross-domain ownership.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:753:empty	mixed-runtime-split	Retained behavior: callers can construct empty versioned scene and presentation frames. Removed concept: a RuntimeProjectionFrame constructor that packages them with an authority tick.
test:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:runtime_frame_is_scene_plus_ordered_replay_excluded_presentation	mixed-runtime-split	Retained behavior: scene and ordered presentation frames remain independently constructible and validated. Removed concept: the runtime composite, authority tick, and replay-exclusion marker asserted by the donor test.
test:engine-rs/crates/render/render-animation/tests/projector.rs:authority_changes_project_to_one_stable_g1_lifecycle	mixed-replay-removal	Retained behavior: one controller entity projects to a stable create, update, and destroy handle lifecycle. Removed concept: origin correlation and graph-hash proof fields asserted by the donor test.
test:engine-rs/crates/render/render-animation/tests/projector.rs:projector_rejects_mismatched_authority_identity	mixed-controller-narrowing	Retained behavior: projection rejects a controller state whose entity identity does not match the projected owner. Removed concept: treating that identity check as cross-authority certification rather than local descriptor validation.
test:engine-rs/crates/render/render-animation/tests/projector.rs:projector_rejects_trace_metadata_that_does_not_match_the_authority_fact	removed-origin-envelope	Removed concept: rejecting mismatched origin envelopes exists only when the renderer is required to cross-check authority-fact provenance.
internal:engine-rs/crates/rules/rule-animation-controller/src/hashing.rs	removed-replay-proof	Removed concept: canonical catalog, graph, controller-state, replay-log, and stable-id hashes were certification infrastructure rather than animation behavior.
